State,Year,Month,T2M,PRECTOTCORR
ALABAMA,2014,4,16.5,8.04
ALABAMA,2014,5,20.97,2.58
ALABAMA,2014,6,25.21,4.4
ALABAMA,2014,7,25.24,2.2
ALABAMA,2014,8,26.35,2.26
ALABAMA,2014,9,24.62,1.8
ALABAMA,2014,10,18.4,3.11
ALABAMA,2014,11,8.52,3.21
ALABAMA,2014,12,9.33,5.93
ALABAMA,2015,1,5.34,4.02
ALABAMA,2015,2,3.96,4.22
ALABAMA,2015,3,14.15,3.5
ALABAMA,2015,4,18.53,5.92
ALABAMA,2015,5,21.84,3.33
ALABAMA,2015,6,25.94,2.0
ALABAMA,2015,7,27.48,5.0
ALABAMA,2015,8,25.91,3.83
ALABAMA,2015,9,23.34,1.46
ALABAMA,2015,10,18.54,2.44
ALABAMA,2015,11,14.4,5.3
ALABAMA,2015,12,13.07,7.84
ALABAMA,2016,1,5.18,3.22
ALABAMA,2016,2,8.54,5.83
ALABAMA,2016,3,14.59,5.19
ALABAMA,2016,4,16.94,4.26
ALABAMA,2016,5,20.75,1.37
ALABAMA,2016,6,25.98,3.09
ALABAMA,2016,7,27.83,3.31
ALABAMA,2016,8,27.96,3.38
ALABAMA,2016,9,26.16,1.18
ALABAMA,2016,10,21.14,0.05
ALABAMA,2016,11,14.73,2.89
ALABAMA,2016,12,9.05,2.26
ALABAMA,2017,1,10.42,7.11
ALABAMA,2017,2,12.37,3.31
ALABAMA,2017,3,13.6,3.68
ALABAMA,2017,4,19.11,3.68
ALABAMA,2017,5,21.03,5.45
ALABAMA,2017,6,24.15,9.48
ALABAMA,2017,7,27.16,3.15
ALABAMA,2017,8,25.63,4.48
ALABAMA,2017,9,22.62,2.2
ALABAMA,2017,10,17.76,4.05
ALABAMA,2017,11,12.41,0.91
ALABAMA,2017,12,7.05,2.63
ALABAMA,2018,1,3.48,2.08
ALABAMA,2018,2,13.83,6.61
ALABAMA,2018,3,12.19,3.1
ALABAMA,2018,4,14.84,4.91
ALABAMA,2018,5,23.43,6.22
ALABAMA,2018,6,26.07,3.06
ALABAMA,2018,7,27.28,4.02
ALABAMA,2018,8,26.04,3.43
ALABAMA,2018,9,26.18,3.47
ALABAMA,2018,10,19.81,0.96
ALABAMA,2018,11,9.68,5.48
ALABAMA,2018,12,8.48,8.36
ALABAMA,2019,1,6.71,4.67
ALABAMA,2019,2,12.86,5.66
ALABAMA,2019,3,11.71,2.32
ALABAMA,2019,4,17.4,4.77
ALABAMA,2019,5,23.25,2.41
ALABAMA,2019,6,24.99,3.96
ALABAMA,2019,7,27.18,2.28
ALABAMA,2019,8,27.9,3.5
ALABAMA,2019,9,27.81,0.14
ALABAMA,2019,10,20.32,4.59
ALABAMA,2019,11,9.84,2.46
ALABAMA,2019,12,9.67,4.29
ALABAMA,2020,1,9.43,5.42
ALABAMA,2020,2,9.66,9.8
ALABAMA,2020,3,16.6,5.17
ALABAMA,2020,4,16.29,6.31
ALABAMA,2020,5,19.98,2.13
ALABAMA,2020,6,24.4,2.96
ALABAMA,2020,7,27.37,3.57
ALABAMA,2020,8,26.76,3.56
ALABAMA,2020,9,23.39,1.97
ALABAMA,2020,10,19.11,4.69
ALABAMA,2020,11,13.72,2.17
ALABAMA,2020,12,6.77,2.43
ALABAMA,2021,1,7.05,2.4
ALABAMA,2021,2,7.48,2.55
ALABAMA,2021,3,14.6,5.84
ALABAMA,2021,4,16.01,2.55
ALABAMA,2021,5,20.76,3.15
ALABAMA,2021,6,24.79,7.09
ALABAMA,2021,7,26.27,5.92
ALABAMA,2021,8,26.51,4.46
ALABAMA,2021,9,23.23,2.55
ALABAMA,2021,10,18.79,3.77
ALABAMA,2021,11,10.1,1.32
ALABAMA,2021,12,12.87,3.73
ALABAMA,2022,1,5.08,3.87
ALABAMA,2022,2,9.15,5.07
ALABAMA,2022,3,12.9,6.61
ALABAMA,2022,4,16.36,4.56
ALABAMA,2022,5,22.53,3.54
ALABAMA,2022,6,26.8,3.12
ALABAMA,2022,7,28.12,4.46
ALABAMA,2022,8,26.31,4.47
ALABAMA,2022,9,23.03,1.63
ALABAMA,2022,10,16.21,2.28
ALABAMA,2022,11,12.44,3.51
ALABAMA,2022,12,8.84,2.36
ALABAMA,2023,1,9.82,6.45
ALABAMA,2023,2,12.64,4.66
ALABAMA,2023,3,14.04,4.81
ALABAMA,2023,4,16.87,4.02
ALABAMA,2023,5,21.02,2.98
ALABAMA,2023,6,24.95,3.47
ALABAMA,2023,7,27.55,4.73
ALABAMA,2023,8,28.32,3.14
ALABAMA,2023,9,24.83,1.3
ALABAMA,2023,10,18.48,0.88
ALABAMA,2023,11,12.33,1.75
ALABAMA,2023,12,8.59,2.35
ALABAMA,2024,1,5.53,6.83
ALABAMA,2024,2,10.67,4.39
ALABAMA,2024,3,14.11,4.81
ALABAMA,2024,4,17.64,2.81
ALABAMA,2024,5,23.35,3.53
ALABAMA,2024,6,27.03,2.52
ALABAMA,2024,7,28.21,6.13
ALABAMA,2024,8,27.73,1.43
ALABAMA,2024,9,24.37,4.42
ALABAMA,2024,10,19.73,0.06
ALABAMA,2024,11,16.08,3.03
ALABAMA,2024,12,8.69,3.09
ALABAMA,2025,1,3.81,2.36
ALABAMA,2025,2,11.05,3.64
ALABAMA,2025,3,13.94,4.35
ALABAMA,2025,4,19.17,4.21
ALABAMA,2025,5,21.94,9.19
ALABAMA,2025,6,25.87,6.42
ALABAMA,2025,7,28.0,2.01
ALABAMA,2025,8,26.15,2.51
ALABAMA,2025,9,25.21,0.82
ALABAMA,2025,10,19.2,2.23
ALABAMA,2025,11,13.15,1.73
ALABAMA,2025,12,-999.0,-999.0
ARIZONA,2000,1,10.72,0.15
ARIZONA,2000,2,12.03,0.34
ARIZONA,2000,3,12.59,2.11
ARIZONA,2000,4,19.3,0.08
ARIZONA,2000,5,25.56,0.01
ARIZONA,2000,6,29.3,0.76
ARIZONA,2000,7,31.37,0.34
ARIZONA,2000,8,29.16,2.0
ARIZONA,2000,9,28.12,0.09
ARIZONA,2000,10,18.47,3.45
ARIZONA,2000,11,8.64,1.16
ARIZONA,2000,12,9.57,0.08
ARIZONA,2001,1,6.93,1.76
ARIZONA,2001,2,9.07,1.04
ARIZONA,2001,3,13.59,0.77
ARIZONA,2001,4,16.58,1.49
ARIZONA,2001,5,25.21,0.35
ARIZONA,2001,6,29.44,0.11
ARIZONA,2001,7,30.24,1.85
ARIZONA,2001,8,29.09,1.69
ARIZONA,2001,9,28.13,0.24
ARIZONA,2001,10,21.54,0.48
ARIZONA,2001,11,15.37,0.18
ARIZONA,2001,12,7.13,1.0
ARIZONA,2002,1,8.35,0.14
ARIZONA,2002,2,11.28,0.03
ARIZONA,2002,3,13.16,0.27
ARIZONA,2002,4,20.23,0.17
ARIZONA,2002,5,23.59,0.01
ARIZONA,2002,6,30.49,0.0
ARIZONA,2002,7,30.76,1.08
ARIZONA,2002,8,30.22,0.8
ARIZONA,2002,9,26.76,1.05
ARIZONA,2002,10,19.32,0.29
ARIZONA,2002,11,13.94,0.69
ARIZONA,2002,12,7.97,0.75
ARIZONA,2003,1,12.46,0.24
ARIZONA,2003,2,10.05,3.4
ARIZONA,2003,3,12.76,1.08
ARIZONA,2003,4,15.64,0.25
ARIZONA,2003,5,23.51,0.08
ARIZONA,2003,6,28.76,0.03
ARIZONA,2003,7,31.82,1.15
ARIZONA,2003,8,29.93,1.31
ARIZONA,2003,9,27.28,1.11
ARIZONA,2003,10,23.56,0.21
ARIZONA,2003,11,12.34,0.97
ARIZONA,2003,12,8.82,0.52
ARIZONA,2004,1,9.19,0.88
ARIZONA,2004,2,7.94,0.75
ARIZONA,2004,3,17.23,1.34
ARIZONA,2004,4,17.27,1.21
ARIZONA,2004,5,24.22,0.01
ARIZONA,2004,6,29.06,0.02
ARIZONA,2004,7,30.47,1.14
ARIZONA,2004,8,28.91,1.36
ARIZONA,2004,9,25.67,1.47
ARIZONA,2004,10,18.68,0.97
ARIZONA,2004,11,10.8,0.9
ARIZONA,2004,12,8.55,2.03
ARIZONA,2005,1,9.69,3.04
ARIZONA,2005,2,10.09,4.77
ARIZONA,2005,3,11.72,0.95
ARIZONA,2005,4,16.39,0.5
ARIZONA,2005,5,22.87,0.14
ARIZONA,2005,6,28.05,0.04
ARIZONA,2005,7,32.01,1.05
ARIZONA,2005,8,28.32,1.9
ARIZONA,2005,9,27.06,0.51
ARIZONA,2005,10,20.8,0.48
ARIZONA,2005,11,14.86,0.01
ARIZONA,2005,12,10.36,0.02
ARIZONA,2006,1,10.01,0.05
ARIZONA,2006,2,12.07,0.0
ARIZONA,2006,3,11.73,1.48
ARIZONA,2006,4,17.42,0.15
ARIZONA,2006,5,25.01,0.05
ARIZONA,2006,6,30.37,0.3
ARIZONA,2006,7,30.7,2.32
ARIZONA,2006,8,27.7,1.73
ARIZONA,2006,9,23.97,1.04
ARIZONA,2006,10,18.75,1.0
ARIZONA,2006,11,14.89,0.04
ARIZONA,2006,12,8.09,0.28
ARIZONA,2007,1,6.36,0.97
ARIZONA,2007,2,10.08,0.63
ARIZONA,2007,3,15.3,0.9
ARIZONA,2007,4,17.76,0.29
ARIZONA,2007,5,24.28,0.3
ARIZONA,2007,6,29.28,0.03
ARIZONA,2007,7,30.2,2.15
ARIZONA,2007,8,29.62,1.81
ARIZONA,2007,9,26.65,0.76
ARIZONA,2007,10,20.4,0.09
ARIZONA,2007,11,16.99,1.22
ARIZONA,2007,12,6.67,2.74
ARIZONA,2008,1,6.73,3.06
ARIZONA,2008,2,9.08,1.56
ARIZONA,2008,3,12.78,0.03
ARIZONA,2008,4,16.75,0.0
ARIZONA,2008,5,20.52,1.08
ARIZONA,2008,6,29.19,0.11
ARIZONA,2008,7,29.19,2.62
ARIZONA,2008,8,28.32,3.01
ARIZONA,2008,9,26.27,0.55
ARIZONA,2008,10,20.16,0.4
ARIZONA,2008,11,14.48,0.98
ARIZONA,2008,12,8.27,3.23
ARIZONA,2009,1,9.37,0.68
ARIZONA,2009,2,10.67,1.5
ARIZONA,2009,3,13.86,0.07
ARIZONA,2009,4,16.36,0.47
ARIZONA,2009,5,24.98,0.58
ARIZONA,2009,6,26.9,0.31
ARIZONA,2009,7,31.48,1.37
ARIZONA,2009,8,30.45,0.42
ARIZONA,2009,9,26.67,1.25
ARIZONA,2009,10,18.5,0.03
ARIZONA,2009,11,15.28,0.11
ARIZONA,2009,12,6.78,1.48
ARIZONA,2010,1,8.22,5.19
ARIZONA,2010,2,8.52,1.85
ARIZONA,2010,3,11.27,1.04
ARIZONA,2010,4,15.7,0.06
ARIZONA,2010,5,20.47,0.03
ARIZONA,2010,6,28.55,0.07
ARIZONA,2010,7,30.47,2.37
ARIZONA,2010,8,29.38,1.48
ARIZONA,2010,9,27.83,1.13
ARIZONA,2010,10,20.17,0.84
ARIZONA,2010,11,12.03,0.3
ARIZONA,2010,12,10.95,2.03
ARIZONA,2011,1,8.05,0.05
ARIZONA,2011,2,8.11,0.99
ARIZONA,2011,3,14.95,0.31
ARIZONA,2011,4,17.98,0.47
ARIZONA,2011,5,21.04,0.18
ARIZONA,2011,6,28.82,0.01
ARIZONA,2011,7,30.48,1.68
ARIZONA,2011,8,31.52,1.08
ARIZONA,2011,9,27.76,0.87
ARIZONA,2011,10,21.25,0.47
ARIZONA,2011,11,12.06,0.99
ARIZONA,2011,12,6.73,2.16
ARIZONA,2012,1,9.94,0.27
ARIZONA,2012,2,10.38,0.27
ARIZONA,2012,3,13.69,0.69
ARIZONA,2012,4,19.27,0.31
ARIZONA,2012,5,24.75,0.05
ARIZONA,2012,6,30.24,0.02
ARIZONA,2012,7,29.36,2.21
ARIZONA,2012,8,30.07,1.87
ARIZONA,2012,9,26.04,0.86
ARIZONA,2012,10,21.43,0.12
ARIZONA,2012,11,15.9,0.5
ARIZONA,2012,12,8.94,2.05
ARIZONA,2013,1,6.77,1.9
ARIZONA,2013,2,7.8,0.68
ARIZONA,2013,3,15.25,1.13
ARIZONA,2013,4,18.2,0.31
ARIZONA,2013,5,23.53,0.01
ARIZONA,2013,6,30.74,0.02
ARIZONA,2013,7,29.52,1.92
ARIZONA,2013,8,29.49,1.26
ARIZONA,2013,9,26.21,1.08
ARIZONA,2013,10,18.59,0.12
ARIZONA,2013,11,14.02,2.47
ARIZONA,2013,12,8.13,0.48
ARIZONA,2014,1,10.84,0.01
ARIZONA,2014,2,13.12,0.05
ARIZONA,2014,3,15.07,1.46
ARIZONA,2014,4,18.44,0.2
ARIZONA,2014,5,23.45,0.0
ARIZONA,2014,6,29.79,0.0
ARIZONA,2014,7,29.96,1.59
ARIZONA,2014,8,27.88,2.45
ARIZONA,2014,9,26.62,2.78
ARIZONA,2014,10,21.42,0.95
ARIZONA,2014,11,13.52,0.04
ARIZONA,2014,12,9.62,1.76
ARIZONA,2015,1,9.86,1.55
ARIZONA,2015,2,13.57,0.21
ARIZONA,2015,3,16.74,0.87
ARIZONA,2015,4,18.14,0.45
ARIZONA,2015,5,20.82,1.11
ARIZONA,2015,6,29.82,0.61
ARIZONA,2015,7,29.61,0.75
ARIZONA,2015,8,30.81,1.35
ARIZONA,2015,9,27.44,0.62
ARIZONA,2015,10,21.32,1.38
ARIZONA,2015,11,11.86,0.85
ARIZONA,2015,12,7.58,0.74
ARIZONA,2016,1,8.19,2.11
ARIZONA,2016,2,13.21,0.09
ARIZONA,2016,3,16.05,0.02
ARIZONA,2016,4,18.23,0.56
ARIZONA,2016,5,22.44,0.15
ARIZONA,2016,6,30.74,0.45
ARIZONA,2016,7,31.72,0.79
ARIZONA,2016,8,28.55,1.5
ARIZONA,2016,9,26.05,0.51
ARIZONA,2016,10,23.42,0.26
ARIZONA,2016,11,14.87,1.02
ARIZONA,2016,12,10.24,2.12
ARIZONA,2017,1,8.33,2.37
ARIZONA,2017,2,12.1,1.56
ARIZONA,2017,3,16.71,0.19
ARIZONA,2017,4,18.99,0.01
ARIZONA,2017,5,23.01,0.16
ARIZONA,2017,6,30.87,0.05
ARIZONA,2017,7,29.88,2.41
ARIZONA,2017,8,29.91,0.65
ARIZONA,2017,9,26.58,0.18
ARIZONA,2017,10,22.98,0.0
ARIZONA,2017,11,18.47,0.0
ARIZONA,2017,12,11.95,0.11
ARIZONA,2018,1,11.76,0.46
ARIZONA,2018,2,11.68,0.86
ARIZONA,2018,3,14.76,0.16
ARIZONA,2018,4,21.07,0.0
ARIZONA,2018,5,24.65,0.06
ARIZONA,2018,6,29.74,0.39
ARIZONA,2018,7,31.06,1.34
ARIZONA,2018,8,29.93,1.68
ARIZONA,2018,9,28.96,0.5
ARIZONA,2018,10,18.48,3.09
ARIZONA,2018,11,12.9,0.23
ARIZONA,2018,12,8.94,0.63
ARIZONA,2019,1,8.85,0.9
ARIZONA,2019,2,7.71,4.03
ARIZONA,2019,3,13.98,0.87
ARIZONA,2019,4,18.6,0.15
ARIZONA,2019,5,19.78,0.34
ARIZONA,2019,6,28.51,0.0
ARIZONA,2019,7,31.68,0.72
ARIZONA,2019,8,31.54,0.42
ARIZONA,2019,9,27.07,1.67
ARIZONA,2019,10,19.73,0.0
ARIZONA,2019,11,14.94,3.06
ARIZONA,2019,12,8.54,1.88
ARIZONA,2020,1,9.29,0.29
ARIZONA,2020,2,10.09,1.66
ARIZONA,2020,3,13.5,2.04
ARIZONA,2020,4,18.36,0.1
ARIZONA,2020,5,25.33,0.03
ARIZONA,2020,6,29.04,0.0
ARIZONA,2020,7,32.46,0.29
ARIZONA,2020,8,32.77,0.55
ARIZONA,2020,9,28.58,0.07
ARIZONA,2020,10,23.26,0.04
ARIZONA,2020,11,16.1,0.16
ARIZONA,2020,12,8.91,0.31
ARIZONA,2021,1,9.32,1.21
ARIZONA,2021,2,10.98,0.06
ARIZONA,2021,3,12.63,0.4
ARIZONA,2021,4,20.17,0.12
ARIZONA,2021,5,24.28,0.03
ARIZONA,2021,6,31.34,0.08
ARIZONA,2021,7,29.48,3.69
ARIZONA,2021,8,29.14,2.86
ARIZONA,2021,9,27.03,1.06
ARIZONA,2021,10,19.39,0.37
ARIZONA,2021,11,17.47,0.01
ARIZONA,2021,12,11.12,2.69
ARIZONA,2022,1,9.58,0.28
ARIZONA,2022,2,9.55,0.5
ARIZONA,2022,3,14.05,0.49
ARIZONA,2022,4,19.86,0.0
ARIZONA,2022,5,24.55,0.01
ARIZONA,2022,6,30.08,0.69
ARIZONA,2022,7,31.26,1.63
ARIZONA,2022,8,29.0,2.53
ARIZONA,2022,9,28.01,0.91
ARIZONA,2022,10,20.03,1.06
ARIZONA,2022,11,11.09,0.34
ARIZONA,2022,12,9.01,2.19
ARIZONA,2023,1,7.31,2.58
ARIZONA,2023,2,8.33,1.38
ARIZONA,2023,3,11.59,1.87
ARIZONA,2023,4,18.25,0.0
ARIZONA,2023,5,23.14,0.27
ARIZONA,2023,6,27.45,0.0
ARIZONA,2023,7,34.08,0.31
ARIZONA,2023,8,32.04,0.56
ARIZONA,2023,9,27.97,0.82
ARIZONA,2023,10,22.9,0.07
ARIZONA,2023,11,15.51,0.49
ARIZONA,2023,12,10.83,1.05
ARIZONA,2024,1,8.45,1.02
ARIZONA,2024,2,10.87,2.33
ARIZONA,2024,3,12.67,1.95
ARIZONA,2024,4,17.69,0.28
ARIZONA,2024,5,23.3,0.01
ARIZONA,2024,6,31.26,0.23
ARIZONA,2024,7,33.06,0.78
ARIZONA,2024,8,31.54,1.03
ARIZONA,2024,9,29.5,0.18
ARIZONA,2024,10,24.46,0.17
ARIZONA,2024,11,13.18,0.21
ARIZONA,2024,12,13.08,0.0
ARIZONA,2025,1,8.36,0.1
ARIZONA,2025,2,14.63,0.06
ARIZONA,2025,3,14.08,1.26
ARIZONA,2025,4,18.56,0.19
ARIZONA,2025,5,23.75,0.16
ARIZONA,2025,6,30.06,0.32
ARIZONA,2025,7,30.63,2.35
ARIZONA,2025,8,31.37,1.32
ARIZONA,2025,9,27.6,1.99
ARIZONA,2025,10,21.29,2.39
ARIZONA,2025,11,15.98,1.84
ARIZONA,2025,12,-999.0,-999.0
ARKANSAS,2000,1,4.34,1.48
ARKANSAS,2000,2,8.7,2.47
ARKANSAS,2000,3,11.87,3.18
ARKANSAS,2000,4,15.2,2.72
ARKANSAS,2000,5,22.24,4.53
ARKANSAS,2000,6,24.65,4.81
ARKANSAS,2000,7,28.86,0.79
ARKANSAS,2000,8,32.39,0.33
ARKANSAS,2000,9,25.1,2.02
ARKANSAS,2000,10,18.39,1.22
ARKANSAS,2000,11,7.37,7.22
ARKANSAS,2000,12,-1.46,2.17
ARKANSAS,2001,1,1.24,2.23
ARKANSAS,2001,2,6.74,6.33
ARKANSAS,2001,3,8.02,2.7
ARKANSAS,2001,4,18.26,1.47
ARKANSAS,2001,5,21.26,3.9
ARKANSAS,2001,6,25.38,2.04
ARKANSAS,2001,7,29.71,2.36
ARKANSAS,2001,8,28.28,2.27
ARKANSAS,2001,9,22.86,1.9
ARKANSAS,2001,10,15.37,3.96
ARKANSAS,2001,11,12.55,4.54
ARKANSAS,2001,12,6.25,6.38
ARKANSAS,2002,1,4.89,3.72
ARKANSAS,2002,2,4.22,2.02
ARKANSAS,2002,3,8.81,8.12
ARKANSAS,2002,4,17.24,1.98
ARKANSAS,2002,5,19.43,3.58
ARKANSAS,2002,6,25.18,1.81
ARKANSAS,2002,7,28.3,3.56
ARKANSAS,2002,8,27.79,2.07
ARKANSAS,2002,9,24.91,2.46
ARKANSAS,2002,10,15.85,3.62
ARKANSAS,2002,11,8.46,1.82
ARKANSAS,2002,12,3.69,6.31
ARKANSAS,2003,1,1.51,0.32
ARKANSAS,2003,2,4.17,5.59
ARKANSAS,2003,3,9.97,1.56
ARKANSAS,2003,4,15.94,1.91
ARKANSAS,2003,5,21.33,6.27
ARKANSAS,2003,6,22.85,6.06
ARKANSAS,2003,7,27.77,2.76
ARKANSAS,2003,8,28.61,2.23
ARKANSAS,2003,9,21.88,2.84
ARKANSAS,2003,10,17.79,1.73
ARKANSAS,2003,11,12.17,4.61
ARKANSAS,2003,12,4.57,2.9
ARKANSAS,2004,1,4.47,2.67
ARKANSAS,2004,2,4.01,3.34
ARKANSAS,2004,3,12.5,3.21
ARKANSAS,2004,4,15.69,5.17
ARKANSAS,2004,5,21.51,3.51
ARKANSAS,2004,6,24.77,4.28
ARKANSAS,2004,7,26.71,2.98
ARKANSAS,2004,8,25.62,2.51
ARKANSAS,2004,9,24.09,0.2
ARKANSAS,2004,10,18.86,6.96
ARKANSAS,2004,11,11.21,7.59
ARKANSAS,2004,12,3.94,2.4
ARKANSAS,2005,1,5.73,3.9
ARKANSAS,2005,2,7.75,2.59
ARKANSAS,2005,3,9.34,3.37
ARKANSAS,2005,4,15.54,3.46
ARKANSAS,2005,5,20.23,0.82
ARKANSAS,2005,6,26.98,2.48
ARKANSAS,2005,7,28.26,2.97
ARKANSAS,2005,8,29.66,2.39
ARKANSAS,2005,9,26.31,3.9
ARKANSAS,2005,10,17.13,0.66
